Price,Adj Close,Close,High,Low,Open,Volume
Ticker,VNQ,VNQ,VNQ,VNQ,VNQ,VNQ
Date,,,,,,
2020-01-02,71.67410278320312,91.69999694824219,93.23999786376953,91.0999984741211,93.19000244140625,5106600
2020-01-03,72.11962890625,92.2699966430664,92.45999908447266,91.02999877929688,91.23999786376953,5015500
2020-01-06,72.20561218261719,92.37999725341797,92.70999908447266,91.87000274658203,92.16999816894531,4889000
2020-01-07,71.40055084228516,91.3499984741211,92.18000030517578,90.8499984741211,92.18000030517578,6529100
2020-01-08,71.61940002441406,91.62999725341797,91.80999755859375,91.05999755859375,91.38999938964844,6766100
2020-01-09,71.5802993774414,91.58000183105469,91.87000274658203,91.36000061035156,91.61000061035156,4213800
2020-01-10,72.12745666503906,92.27999877929688,92.38999938964844,91.52999877929688,91.77999877929688,5838800
2020-01-13,72.99505615234375,93.38999938964844,93.4000015258789,92.33999633789062,92.37000274658203,5552600
2020-01-14,72.72147369384766,93.04000091552734,93.3499984741211,92.5199966430664,93.30000305175781,4120700
2020-01-15,73.37802124023438,93.87999725341797,94.08000183105469,93.2699966430664,93.30999755859375,4471500
2020-01-16,73.9642333984375,94.62999725341797,94.62999725341797,93.87000274658203,94.02999877929688,4426700
2020-01-17,74.03458404541016,94.72000122070312,95.02999877929688,94.5199966430664,94.58000183105469,3581300
2020-01-21,74.73802947998047,95.62000274658203,95.69000244140625,94.58999633789062,94.83999633789062,4217400
2020-01-22,74.23779296875,94.9800033569336,96.1500015258789,94.81999969482422,95.8499984741211,5024300
2020-01-23,74.86310577392578,95.77999877929688,95.81999969482422,94.69000244140625,95.08999633789062,4825000
2020-01-24,74.60517120361328,95.44999694824219,96.04000091552734,95.16000366210938,95.9000015258789,3518100
2020-01-27,74.24562072753906,94.98999786376953,95.30999755859375,94.7300033569336,94.95999908447266,3047000
2020-01-28,74.54264831542969,95.37000274658203,95.66999816894531,94.97000122070312,95.1500015258789,3006100
2020-01-29,74.2690658569336,95.0199966430664,95.77999877929688,94.93000030517578,95.66000366210938,3785500
2020-01-30,74.32379150390625,95.08999633789062,95.29000091552734,94.5999984741211,94.7699966430664,4142400
2020-01-31,73.41710662841797,93.93000030517578,95.0999984741211,93.66999816894531,95.0,6370900
2020-02-03,73.65940856933594,94.23999786376953,94.94999694824219,93.8499984741211,93.87999725341797,7508200
2020-02-04,74.41755676269531,95.20999908447266,95.5999984741211,94.31999969482422,94.58000183105469,4422900
2020-02-05,74.46446228027344,95.2699966430664,95.62999725341797,95.05000305175781,95.38999938964844,4413700
2020-02-06,74.71460723876953,95.58999633789062,95.87000274658203,95.41000366210938,95.55000305175781,3327500
2020-02-07,74.69898223876953,95.56999969482422,95.83000183105469,95.31999969482422,95.72000122070312,3176200
2020-02-10,75.5353012084961,96.63999938964844,96.66000366210938,95.83999633789062,95.94999694824219,4457000
2020-02-11,76.1058578491211,97.37000274658203,97.95999908447266,96.97000122070312,96.97000122070312,5362200
2020-02-12,76.5592041015625,97.94999694824219,98.25,97.12999725341797,97.52999877929688,6298700
2020-02-13,77.02035522460938,98.54000091552734,98.7300033569336,97.75,97.93000030517578,3683500
2020-02-14,77.8176040649414,99.55999755859375,99.58000183105469,98.63999938964844,98.7699966430664,3004800
2020-02-18,77.73159790039062,99.44999694824219,99.69000244140625,98.87999725341797,99.62000274658203,4186800
2020-02-19,76.68428039550781,98.11000061035156,99.5,98.0999984741211,99.5,4415200
2020-02-20,77.59873962402344,99.27999877929688,99.33000183105469,97.87000274658203,98.16000366210938,5556500
2020-02-21,77.82540893554688,99.56999969482422,99.72000122070312,99.02999877929688,99.2699966430664,3670800
2020-02-24,76.76242065429688,98.20999908447266,99.12999725341797,97.75,98.38999938964844,5214600
2020-02-25,74.68334197998047,95.55000305175781,98.62000274658203,95.29000091552734,98.44000244140625,7378900
2020-02-26,73.87825012207031,94.5199966430664,96.45999908447266,94.47000122070312,95.73999786376953,9407200
2020-02-27,69.94673919677734,89.48999786376953,93.30000305175781,89.48999786376953,93.0999984741211,11869100
2020-02-28,68.25846862792969,87.33000183105469,88.19999694824219,84.66000366210938,87.5,22471800
2020-03-02,71.17388153076172,91.05999755859375,91.06999969482422,87.16000366210938,87.6500015258789,14250500
2020-03-03,71.00975036621094,90.8499984741211,93.30999755859375,90.0999984741211,91.18000030517578,14654200
2020-03-04,73.69066619873047,94.27999877929688,94.4000015258789,92.12999725341797,92.26000213623047,10638200
2020-03-05,72.11180877685547,92.26000213623047,93.44000244140625,91.1500015258789,92.72000122070312,9803600
2020-03-06,70.8690414428711,90.66999816894531,91.01000213623047,87.79000091552734,90.23999786376953,10302700
2020-03-09,65.40554809570312,83.68000030517578,86.52999877929688,83.55999755859375,86.0,14017500
2020-03-10,68.16886138916016,86.54000091552734,86.62000274658203,81.83000183105469,85.05000305175781,11782100
2020-03-11,64.07272338867188,81.33999633789062,84.6500015258789,80.52999877929688,84.6500015258789,16447000
2020-03-12,57.581974029541016,73.0999984741211,78.52999877929688,72.5999984741211,75.9000015258789,16761500
2020-03-13,62.60759353637695,79.4800033569336,79.56999969482422,73.0199966430664,77.33000183105469,10968600
2020-03-16,51.50869369506836,65.38999938964844,74.3499984741211,65.23999786376953,71.87999725341797,11396500
2020-03-17,54.486236572265625,69.16999816894531,70.5,64.44000244140625,66.62999725341797,9100900
2020-03-18,49.30308532714844,62.59000015258789,67.44000244140625,60.5,65.04000091552734,15714500
2020-03-19,49.476383209228516,62.810001373291016,64.25,60.0,61.709999084472656,13090000
2020-03-20,47.01082992553711,59.68000030517578,65.19999694824219,59.349998474121094,63.54999923706055,18838000
2020-03-23,44.828861236572266,56.90999984741211,59.5,55.58000183105469,59.38999938964844,15558600
2020-03-24,48.86196517944336,62.029998779296875,62.2599983215332,58.779998779296875,59.61000061035156,14401600
2020-03-25,51.492923736572266,65.37000274658203,68.7699966430664,61.83000183105469,62.290000915527344,15209300
2020-03-26,55.12430953979492,69.9800033569336,70.25,65.58000183105469,65.9800033569336,14486100
2020-03-27,55.179447174072266,70.05000305175781,71.83000183105469,67.4000015258789,67.79000091552734,11521700
2020-03-30,56.384639739990234,71.58000183105469,71.83000183105469,68.44000244140625,70.76000213623047,12754300
2020-03-31,55.02190017700195,69.8499984741211,71.22000122070312,67.94999694824219,71.05999755859375,16815900
2020-04-01,51.406280517578125,65.26000213623047,66.80000305175781,63.88999938964844,66.51000213623047,12174800
2020-04-02,51.57958984375,65.4800033569336,66.83999633789062,64.16999816894531,64.31999969482422,10916700
2020-04-03,50.83124542236328,64.52999877929688,65.87999725341797,63.27000045776367,64.98999786376953,8986700
2020-04-06,54.59651565551758,69.30999755859375,69.68000030517578,66.80999755859375,66.80999755859375,8382200
2020-04-07,55.10066223144531,69.94999694824219,73.3499984741211,69.91999816894531,71.98999786376953,7675100
2020-04-08,58.85806655883789,74.72000122070312,75.16000366210938,70.0999984741211,71.0,9628300
2020-04-09,62.15861129760742,78.91000366210938,79.98999786376953,75.9800033569336,75.9800033569336,13840900
2020-04-13,59.54336929321289,75.58999633789062,78.61000061035156,75.06999969482422,78.41000366210938,10139000
2020-04-14,61.213321685791016,77.70999908447266,78.52999877929688,77.08999633789062,77.08999633789062,9400800
2020-04-15,58.787166595458984,74.62999725341797,76.16999816894531,73.83000183105469,75.30999755859375,8568200
2020-04-16,58.11763000488281,73.77999877929688,75.20999908447266,73.27999877929688,74.7699966430664,6252800
2020-04-17,59.95299530029297,76.11000061035156,76.51000213623047,75.06999969482422,75.91999816894531,8593100
2020-04-20,57.72377014160156,73.27999877929688,74.95999908447266,73.26000213623047,74.54000091552734,6631000
2020-04-21,56.67610168457031,71.94999694824219,72.55000305175781,70.98999786376953,71.36000061035156,8620400
2020-04-22,57.5425910949707,73.05000305175781,73.66000366210938,72.44999694824219,73.05999755859375,6484200
2020-04-23,57.06208038330078,72.44000244140625,73.88999938964844,72.19000244140625,73.2699966430664,7648200
2020-04-24,57.30626678466797,72.75,73.12000274658203,71.87000274658203,72.97000122070312,6419000
2020-04-27,59.267677307128906,75.23999786376953,75.51000213623047,73.25,73.41000366210938,7669500
2020-04-28,59.75605010986328,75.86000061035156,77.80000305175781,75.80000305175781,76.68000030517578,8177900
2020-04-29,60.654052734375,77.0,78.05000305175781,76.68000030517578,77.5,7307000
2020-04-30,59.95299530029297,76.11000061035156,76.36000061035156,74.80999755859375,75.87000274658203,8606000
2020-05-01,57.92855453491211,73.54000091552734,74.37000274658203,72.76000213623047,74.08000183105469,6013600
2020-05-04,57.64500427246094,73.18000030517578,73.23999786376953,71.56999969482422,72.66000366210938,7288000
2020-05-05,57.92855453491211,73.54000091552734,74.66000366210938,73.43000030517578,73.9000015258789,7520300
2020-05-06,56.888771057128906,72.22000122070312,74.1500015258789,72.19999694824219,73.79000091552734,6266800
2020-05-07,57.70011520385742,73.25,74.30000305175781,72.8499984741211,72.9000015258789,6727300
2020-05-08,59.07074737548828,74.98999786376953,75.23999786376953,74.06999969482422,74.22000122070312,6625600
2020-05-11,58.21214294433594,73.9000015258789,75.08000183105469,73.5,74.12999725341797,6874900
2020-05-12,55.565425872802734,70.54000091552734,74.22000122070312,70.4800033569336,74.22000122070312,11764700
2020-05-13,54.218421936035156,68.83000183105469,70.36000061035156,68.51000213623047,70.02999877929688,8358600
2020-05-14,54.407470703125,69.06999969482422,69.06999969482422,66.2699966430664,67.87000274658203,8609800
2020-05-15,54.194793701171875,68.80000305175781,68.83999633789062,67.58000183105469,68.62999725341797,11916700
2020-05-18,57.40079116821289,72.87000274658203,73.43000030517578,71.01000213623047,71.01000213623047,8617200
2020-05-19,56.62883377075195,71.88999938964844,72.94999694824219,71.88999938964844,72.58999633789062,5804700
2020-05-20,57.132965087890625,72.52999877929688,72.83999633789062,72.01000213623047,72.79000091552734,5133700
2020-05-21,57.180240631103516,72.58999633789062,73.08999633789062,71.9000015258789,72.20999908447266,5385100
2020-05-22,57.95219421386719,73.56999969482422,73.62999725341797,72.27999877929688,72.58999633789062,4737900
2020-05-26,60.118404388427734,76.31999969482422,76.72000122070312,75.55000305175781,75.76000213623047,6001000
2020-05-27,61.31575393676758,77.83999633789062,78.2699966430664,75.97000122070312,78.0,5880500
2020-05-28,61.60719299316406,78.20999908447266,78.81999969482422,77.58000183105469,78.69000244140625,5642800
2020-05-29,60.992774963378906,77.43000030517578,78.13999938964844,76.88999938964844,77.58000183105469,8989500
2020-06-01,62.40277099609375,79.22000122070312,79.79000091552734,77.2699966430664,77.36000061035156,11218300
2020-06-02,62.90690994262695,79.86000061035156,80.0999984741211,79.02999877929688,79.80999755859375,7162100
2020-06-03,64.92346954345703,82.41999816894531,82.7699966430664,80.66999816894531,80.69000244140625,7485600
2020-06-04,64.27755737304688,81.5999984741211,82.12000274658203,80.86000061035156,82.0199966430664,5503500
2020-06-05,66.71157836914062,84.69000244140625,86.06999969482422,84.30000305175781,84.48999786376953,6158800
2020-06-08,68.36578369140625,86.79000091552734,86.80000305175781,85.66999816894531,85.81999969482422,7130500
2020-06-09,67.23146057128906,85.3499984741211,85.9000015258789,84.30000305175781,85.20999908447266,7168900
2020-06-10,65.52213287353516,83.18000030517578,85.11000061035156,82.52999877929688,85.11000061035156,6433900
2020-06-11,61.31575393676758,77.83999633789062,80.62999725341797,77.7300033569336,79.56999969482422,8611900
2020-06-12,63.51344299316406,80.62999725341797,80.91999816894531,78.44000244140625,80.55000305175781,8871700
2020-06-15,64.41144561767578,81.7699966430664,82.19000244140625,77.9800033569336,78.1500015258789,6138600
2020-06-16,65.67969512939453,83.37999725341797,84.83999633789062,82.0199966430664,84.61000061035156,5811700
